Question Text,Option A,Option B,Option C,Option D,Correct Option
"అంతియొకయలోని సంఘములో ఉన్న ప్రవక్తలలో, చతుర్థాధిపతియైన హేరోదుతోకూడ పెంచబడినవాడు ఎవరు?",లూకియ,నీగెరు అనబడిన సుమెయోను,మనాయేను,సౌలు,Option C
పరిశుద్ధాత్మ 'నేను పిలిచిన పనికొరకు' ఎవరిని నాకు ప్రత్యేకించుడని చెప్పెను?,పేతురును యోహానును,బర్నబాను సౌలును,సీలను యూదాను,మార్కును బర్నబాను,Option B
కుప్రలోని సలమీలో దేవుని వాక్యము ప్రచురించుచున్నప్పుడు వారికి పరిచారకుడుగా ఎవరు ఉండిరి?,స్తెఫను,ఫిలిప్పు,తీతు,యోహాను (మార్కు),Option D
పాఫులో ఉన్న అధిపతి (ప్రతినిధి) పేరేమిటి?,సెర్గియు పౌలు,గల్లియోను,ఫేలిక్సు,ఫెస్తు,Option A
పాఫులో ఉన్న అబద్ధ ప్రవక్తయు యూదుడునైన మాంత్రికుని పేరేమిటి?,సీమోను,బర్ యేసు (ఎలుమ),అలెగ్జాండరు,దెమేత్రి,Option B
పంఫులియలోని పెర్గేలో పౌలును అతనితో ఉన్నవారిని విడిచి యెరూషలేమునకు తిరిగి వెళ్లినది ఎవరు?,సీల,బర్నబా,లూకా,యోహాను,Option D
విశ్రాంతిదినమున పిసిదియలోని అంతియొకయలో సమాజమందిరమున కూర్చున్నప్పుడు వారితో మాటలాడమని ఎవరు అడిగిరి?,సమాజమందిరపు అధికారులు,రోమా సైనికులు,ప్రధాన యాజకులు,గ్రీసుదేశస్థులు,Option A
పౌలు తన ప్రసంగములో దేవుడు దావీదు సంతానమునుండి ఇశ్రాయేలునకు ఎవరిని రక్షకునిగా పుట్టించెనని చెప్పెను?,సొలొమోనును,యేసును,యోహానును,మత్తయిని,Option B
"దేవుడు మృతులలోనుండి యేసును లేపిన తరువాత, ఆయన ఎన్ని దినములు తన శిష్యులకు కనబడెను?",మూడు దినములు,అనేక దినములు,నలువది దినములు మాత్రమే,ఏడు దినములు,Option B
మరుసటి విశ్రాంతిదినమున ఎవరికి బోధించవలెనని అన్యులు బతిమాలుకొనిరి?,తమకు,యూదులకు,రోమీయులకు,అధికారులకు,Option A
మరుసటి విశ్రాంతిదినమున దేవుని వాక్యము వినుటకు ఎంతమంది కూడివచ్చిరి?,పదిమంది,సమాజములోని సగభాగము,కొద్దిమంది మాత్రమే,ఇంచుమించు పట్టణమంతయు,Option D
"పౌలు మరియు బర్నబా మీద ఎవరిని రేపి, వారిని తమ ప్రాంతములనుండి వెళ్లగొట్టిరి?",రోమా సైనికులను,పరిసయ్యులను,"భక్తిగల ఘనతవహించిన స్త్రీలను, పట్టణపు ప్రముఖులను",సమాజమందిరపు అధికారులను,Option C
ఈకొనియలో పౌలు మరియు బర్నబా ఎక్కడ ప్రవేశించి బోధించిరి?,యూదుల సమాజమందిరములో,సంతవీధిలో,దేవాలయములో,రాజుల సముఖములో,Option A
ఈకొనియలో మాట విననివారు ఎవరు?,అన్యులు,యూదులు,రోమీయులు,గ్రీసులు,Option B
ఈకొనియనుండి అపొస్తలులు ఎక్కడికి పారిపోయిరి?,యెరూషలేమునకు,అంతియొకయకు,లుకయోనియలోని లుస్త్ర దెర్బే అను పట్టణములకు,కుప్రకు,Option C
లుస్త్రలో పుట్టినది మొదలుకొని ఎన్నడును నడువని వానిలో ఏమి ఉన్నదని పౌలు గ్రహించెను?,పాపము,దురాత్మ,ధనము,స్వస్థత పొందుటకు విశ్వాసము,Option D
"కుంటివాడు స్వస్థత పొందినప్పుడు, జనసమూహము ఏ భాషలో కేకలువేసిరి?",హెబ్రీ భాషలో,లుకయోనియ భాషలో,గ్రీకు భాషలో,లాటిన్ భాషలో,Option B
లుస్త్రలోని ప్రజలు బర్నబాకు ఏమని పేరు పెట్టిరి?,ద్యుపతి,హెర్మే,అపొల్లో,ఆర్తెమి,Option A
"పౌలు ముఖ్యముగా మాటలాడువాడు గనుక, అతనికి ఏమని పేరు పెట్టిరి?",ద్యుపతి,హెర్మే,బయలు,మోలోకు,Option B
ద్యుపతి పూజారి అపొస్తలులకు బలి అర్పింపవలెనని ఏమి తీసికొని వచ్చెను?,గొఱ్ఱెలను,పొట్టేళ్లను,వృషభములను పూదండలను,పావురములను,Option C
ప్రజలు బలి అర్పించబోగా అపొస్తలులు ఏమి చేసిరి?,సంతోషించిరి,బలిని అంగీకరించిరి,పారిపోయిరి,తమ వస్త్రములు చింపుకొని జనసమూహములోనికి ఉరికిరి,Option D
ఎక్కడినుండి యూదులు వచ్చి లుస్త్రలోని జనసమూహములను తమ పక్షముగా చేసికొని పౌలును రాళ్లతో కొట్టిరి?,అంతియొకయనుండియు ఈకొనియనుండియు,యెరూషలేమునుండి,రోమానుండి,కుప్రనుండి,Option A
పౌలు రాళ్లతో కొట్టబడిన తరువాత మరునాడు బర్నబాతోకూడ ఎక్కడికి బయలుదేరిపోయెను?,అంతియొకయకు,ఈకొనియకు,దెర్బేకు,పెర్గేకు,Option C
అనేక శ్రమలను అనుభవించి మనము దేనిలో ప్రవేశింపవలెనని అపొస్తలులు శిష్యుల మనస్సులను స్థిరపరచిరి?,యెరూషలేములో,దేవుని రాజ్యములో,సమాజమందిరములో,పరలోకములో,Option B
అపొస్తలులు ప్రతి సంఘములో ఎవరిని ఏర్పరచి ఉపవాసముండి ప్రార్థనచేసిరి?,యాజకులను,పరిచారకులను,పెద్దలను,ప్రవక్తలను,Option C
వారు పంఫులియలో వాక్యము బోధించి యెక్కడికి దిగివచ్చిరి?,అత్తాలియకు,సలమీకు,పాఫుకు,దమస్కుకు,Option A
"కొందరు యూదయనుండి వచ్చి, ఏ ఆచారము చొప్పున సున్నతి పొందకపోయినయెడల రక్షణ పొందలేరని బోధించిరి?",మోషే ఆచారము చొప్పున,అబ్రాహాము ఆచారము చొప్పున,దావీదు ఆచారము చొప్పున,యూదుల ఆచారము చొప్పున,Option A
సున్నతి విషయమై వివాదము జరిగినప్పుడు పౌలు బర్నబాలను ఎక్కడికి వెళ్లమని నిర్ణయించిరి?,దమస్కునకు,రోమాకు,యెరూషలేమునకు,అంతియొకయకు,Option C
అన్యులకు సున్నతి చేయవలెనని చెప్పిన విశ్వాసులు ఏ తెగకు చెందినవారు?,సద్దూకయ్యుల తెగలోనివారు,పరిసయ్యుల తెగలోనివారు,ఎస్సేనుల తెగలోనివారు,జెలోతుల తెగలోనివారు,Option B
అపొస్తలులు పెద్దలు కూడివచ్చినప్పుడు తీవ్రమైన వాదము జరిగిన తరువాత ఎవరు లేచి మాటలాడిరి?,యాకోబు,పౌలు,పేతురు,యోహాను,Option C
దేవుడు మనకు అనుగ్రహించినట్టుగానే అన్యులకును దేనిని అనుగ్రహించి వారి పక్షమున సాక్ష్యమిచ్చెనని పేతురు చెప్పెను?,ధర్మశాస్త్రమును,సంపదను,స్వస్థతను,పరిశుద్ధాత్మను,Option D
తండ్రులైనను మనమైనను మోయలేకపోయిన దేనిని అన్యుల మెడమీద పెట్టి దేవుని శోధించుచున్నారని పేతురు ప్రశ్నించెను?,పాపమును,కాడిని,శిక్షను,శాస్త్రమును,Option B
పేతురు మాటలాడిన తరువాత జనసమూహమంతయు మౌనమై ఎవరి మాటలు వినుచుండిరి?,బర్నబాయు పౌలును చెప్పిన మాటలు,యాకోబు మాటలు,ప్రధాన యాజకుని మాటలు,ఫిలిప్పు మాటలు,Option A
"వారు చాలించిన తరువాత, అన్యులనుండి దేవునివైపు తిరుగుచున్నవారిని కష్టపెట్టకూడదని తీర్మానించినది ఎవరు?",పేతురు,పౌలు,సౌలు,యాకోబు,Option D
అన్యులు వేటిని విడిచిపెట్టవలెనని యాకోబు తీర్మానించెను?,ధర్మశాస్త్రమును,సున్నతిని,"విగ్రహముల అపవిత్రత, జారత్వము, గొంతుపిసికి చంపినది, రక్తము",యూదుల సహవాసమును,Option C
పౌలు బర్నబాలతో కూడ అంతియొకయకు ఎవరిని పంపుటకు అపొస్తలులు పెద్దలు నిర్ణయించిరి?,"లూకాను, తిమోతిని","యూదాను, సీలను","మార్కును, స్తెఫనును","అపొల్లోను, బర్సబ్బాను",Option B
అపొస్తలులు పంపిన పత్రికను చదివి అంతియొకయలోని వారు దేనినిబట్టి సంతోషించిరి?,ఆదరణ వాక్యమునుబట్టి,సున్నతి లేకపోయినందుకు,అపొస్తలులు వచ్చినందుకు,స్వస్థతలు జరిగినందుకు,Option A
యూదాయు సీలాయు తామును ఏమైయుండి సహోదరులకు విస్తారముగా బోధించి వారిని స్థిరపరచిరి?,యాజకులైయుండి,అపొస్తలులైయుండి,ప్రవక్తలైయుండి,రాజులైయుండి,Option C
పౌలు బర్నబాలు ఎవరిని వెంటబెట్టుకొనుట విషయమై తీవ్రమైన వాదము కలిగి వేరైపోయిరి?,సీలను,లూకాను,తిమోతిని,మార్కు అనబడిన యోహానును,Option D
"పౌలు ఎవరిని యేర్పరచుకొని, దేవుని కృపకు అప్పగింపబడి బయలుదేరెను?",సీలను,మార్కును,యూదాను,లూకాను,Option A
ఈ పటములోని మార్గమును (Figure 1) గమనించండి. మార్కు అను యోహాను ఎక్కడినుండి అపొస్తలులను విడిచి యెరూషలేమునకు తిరిగి వెళ్లెను?,పాఫు,పెర్గే,సలమీ,అంతియొకయ,Option B
Figure 1 పటములో చూపబడిన 'కుప్ర' ద్వీపములోని ఏ పట్టణములో బర్ యేసు అను యూదుడైన మాంత్రికుడు గ్రుడ్డివాడాయెను?,సలమీ,సెలూకియ,పాఫు,అంతియొకయ,Option C
"ఈ చిత్రములో (Figure 2) చూపబడిన ప్రజలు అపొస్తలులను దేవుళ్ళనుగా భావించి, వారికి ఏమి చేయుటకు సిద్ధపడిరి?",రాళ్లతో కొట్టుటకు,సన్మానించుటకు,బలి అర్పించుటకు,ప్రార్థన చేయుటకు,Option C
ఈ చిత్రములో (Figure 2) దుస్తులు చింపుకొనుచున్న ఇద్దరు వ్యక్తులు ఎవరు?,పేతురు మరియు యోహాను,పౌలు మరియు సీల,పౌలు మరియు బర్నబా,యాకోబు మరియు పేతురు,Option C
