Question Text,Option A,Option B,Option C,Option D,Correct Option
"కొర్నేలి ఏ పట్టణంలో నివసించేవాడు?","యొప్పే","కైసరియా","యెరూషలేము","దమస్కు","కైసరియా"
"కొర్నేలి ఏ దళానికి చెందిన శతాధిపతి?","యూదా దళం","రోమా దళం","ఇటలీ దళం","గ్రీకు దళం","ఇటలీ దళం"
"కొర్నేలి ఎలాంటి వ్యక్తి?","విగ్రహారాధకుడు","భక్తిగలవాడు, దేవునికి భయపడువాడు","యాజకుడు","పరిసయ్యుడు","భక్తిగలవాడు, దేవునికి భయపడువాడు"
"కొర్నేలి దర్శనాన్ని ఏ సమయంలో చూశాడు?","ఉదయం 6 గంటలకు","మధ్యాహ్నం 12 గంటలకు","సాయంత్రం 3 గంటలకు","రాత్రి 9 గంటలకు","సాయంత్రం 3 గంటలకు"
"కొర్నేలికి దర్శనంలో ఎవరు కనిపించారు?","పేతురు","దేవదూత","పౌలు","యోహాను","దేవదూత"
"దేవదూత కొర్నేలితో ఏమన్నాడు?","నీ ఉపవాసాలు దేవుని సన్నిధికి చేరాయి","నీ ప్రార్థనలు, దానధర్మాలు జ్ఞాపకార్థముగా దేవుని సన్నిధికి చేరాయి","నీవు యెరూషలేముకు వెళ్ళు","నీవు యాజకుడవు","నీ ప్రార్థనలు, దానధర్మాలు జ్ఞాపకార్థముగా దేవుని సన్నిధికి చేరాయి"
"కొర్నేలి ఎవరిని పిలిపించమని ఆజ్ఞ పొందాడు?","పౌలు","ఫిలిప్పు","పేతురు","బర్నబా","పేతురు"
"పేతురు ఎక్కడ ఉన్నాడు?","కైసరియాలో","యొప్పేలో","దమస్కులో","లుద్దలో","యొప్పేలో"
"పేతురు ఎవరి ఇంటిలో ఉంటున్నాడు?","కొర్నేలి","ఫిలిప్పు","సీమోను చర్మకారుడు","బర్నబా","సీమోను చర్మకారుడు"
"ప్రార్థన చేయడానికి పేతురు ఇంటి పైకప్పుపైకి ఏ సమయంలో వెళ్లాడు?","మూడవ గంట","ఆరవ గంట","తొమ్మిదవ గంట","పన్నెండవ గంట","ఆరవ గంట"
"పేతురుకు దర్శనంలో ఏమి కనిపించింది?","అగ్ని రథం","గొప్ప వస్త్రం","దేవాలయం","దేవదూతల సమూహం","గొప్ప వస్త్రం"
"ఆ వస్త్రంలో ఏమి ఉన్నాయి?","బంగారం, వెండి","పుస్తకాలు","భూమిపై ఉన్న జంతువులు, పక్షులు","ఆయుధాలు","భూమిపై ఉన్న జంతువులు, పక్షులు"
"""లేచి చంపి తినుము"" అని పేతురుతో ఎవరు చెప్పారు?","దేవదూత","యోహాను","ప్రభువు స్వరం","కొర్నేలి","ప్రభువు స్వరం"
"పేతురు ఎందుకు నిరాకరించాడు?","అతనికి ఆకలి లేదు","అపవిత్రమైనది తినలేదు","భయపడ్డాడు","ఉపవాసంలో ఉన్నాడు","అపవిత్రమైనది తినలేదు"
"""దేవుడు పవిత్రపరచిన దానిని అపవిత్రమని అనకూడదు"" అనే మాట ఎన్ని సార్లు వినిపించింది?","ఒకసారి","రెండుసార్లు","మూడుసార్లు","నాలుగుసార్లు","మూడుసార్లు"
"కొర్నేలి పంపినవారు పేతురు దగ్గరకు వచ్చినప్పుడు పరిశుద్ధాత్మ ఏమన్నాడు?","వారిని పంపించు","వారితో వెళ్ళుము","దాక్కో","యెరూషలేముకు వెళ్ళు","వారితో వెళ్ళుము"
"పేతురు కొర్నేలి ఇంటికి చేరినప్పుడు కొర్నేలి ఏమి చేశాడు?","భోజనం పెట్టాడు","పేతురు పాదాల వద్ద పడి నమస్కరించాడు","ప్రశ్నలు అడిగాడు","ఇంటి బయట నిలబెట్టాడు","పేతురు పాదాల వద్ద పడి నమస్కరించాడు"
"పేతురు దానికి ఏమన్నాడు?","నన్ను ఆరాధించు","నేనూ మనుష్యుడనే","నేను ప్రవక్తను","నేను అపొస్తలుడను","నేనూ మనుష్యుడనే"
"దేవుడు పక్షపాతం చూపడని పేతురు ఎక్కడ ప్రకటించాడు?","యెరూషలేములో","కొర్నేలి ఇంటిలో","దేవాలయంలో","లుద్దలో","కొర్నేలి ఇంటిలో"
"""ప్రతి జనములో దేవునికి భయపడి నీతి జరిగించువాడు ఆయనకు ఇష్టుడు"" అని ఎవరు చెప్పారు?","పౌలు","యోహాను","పేతురు","కొర్నేలి","పేతురు"
"పేతురు ప్రధానంగా ఎవరి గురించి ప్రకటించాడు?","మోషే","అబ్రాహాము","యేసుక్రీస్తు","దావీదు","యేసుక్రీస్తు"
"పేతురు మాట్లాడుతుండగా ఏమి జరిగింది?","వర్షం పడింది","పరిశుద్ధాత్మ వారిమీదికి దిగివచ్చాడు","భూకంపం వచ్చింది","అందరూ వెళ్లిపోయారు","పరిశుద్ధాత్మ వారిమీదికి దిగివచ్చాడు"
"పరిశుద్ధాత్మను పొందినవారు ఏ భాషలలో మాట్లాడారు?","హెబ్రీ మాత్రమే","గ్రీకు మాత్రమే","ఇతర భాషలలో","రోమన్ భాషలో","ఇతర భాషలలో"
"పేతురుతో వచ్చిన యూద విశ్వాసులు ఎందుకు ఆశ్చర్యపోయారు?","కొర్నేలి ధనవంతుడు కాబట్టి","అన్యజనులపై కూడా పరిశుద్ధాత్మ కుమ్మరించబడింది కాబట్టి","పెద్ద సమూహం వచ్చింది కాబట్టి","అద్భుతం జరగలేదు కాబట్టి","అన్యజనులపై కూడా పరిశుద్ధాత్మ కుమ్మరించబడింది కాబట్టి"
"చివరగా పేతురు ఏమి చేయమని ఆజ్ఞాపించాడు?","ఉపవాసం ఉండమని","యెరూషలేముకు వెళ్లమని","యేసు నామమున బాప్తిస్మం పొందమని","దానధర్మాలు చేయమని","యేసు నామమున బాప్తిస్మం పొందమని"
