Question Text,Option A,Option B,Option C,Option D,Correct Option
"తన పొలాన్ని అమ్మి కొంత డబ్బు దాచుకున్న వ్యక్తి ఎవరు?","బర్నబా","అననీయా","నికోదేము","గమలియేలు","అననీయా"
"అననీయా భార్య పేరు ఏమిటి?","మరియ","మార్తా","సప్పీరా","లూదియా","సప్పీరా"
"అననీయా ఎవరికి అబద్ధం చెప్పాడు?","మనుష్యులకు మాత్రమే","పేతురుకు మాత్రమే","పరిశుద్ధాత్మకు","యాజకులకు","పరిశుద్ధాత్మకు"
"అననీయా పేతురు మాటలు విన్న వెంటనే ఏమైంది?","పారిపోయాడు","అనారోగ్యపడ్డాడు","పడిపోయి చనిపోయాడు","క్షమాపణ కోరాడు","పడిపోయి చనిపోయాడు"
"అననీయా మరణించిన సంగతి సప్పీరాకు తెలియకుండా ఎంతసేపటి తరువాత వచ్చింది?","1 గంట","2 గంటలు","3 గంటలు","4 గంటలు","3 గంటలు"
"సప్పీరా కూడా ఏమి చేసింది?","నిజం చెప్పింది","తన భర్తతో కలిసి అబద్ధం చెప్పింది","సంఘాన్ని విడిచిపోయింది","పశ్చాత్తాపపడింది","తన భర్తతో కలిసి అబద్ధం చెప్పింది"
"సప్పీరాకు ఏమైంది?","చెరలో పెట్టారు","అనారోగ్యపడింది","పడిపోయి చనిపోయింది","యెరూషలేము విడిచి వెళ్లింది","పడిపోయి చనిపోయింది"
"ఈ సంఘటన విని సంఘమంతటికి ఏమి కలిగింది?","సంతోషం","ఆశ్చర్యం","గొప్ప భయము","కోపం","గొప్ప భయము"
"అపొస్తలులు ప్రజల మధ్య ఎక్కడ కూడియుండేవారు?","పైగదిలో","సొలొమోను మంటపంలో","మార్కెట్లో","రాజభవనంలో","సొలొమోను మంటపంలో"
"అపొస్తలుల చేత అనేక ఏమి జరిగాయి?","యుద్ధాలు","అద్భుతములు, సూచక క్రియలు","నిర్మాణాలు","ప్రయాణాలు","అద్భుతములు, సూచక క్రియలు"
"పేతురు నీడ పడినా స్వస్థత పొందాలని ప్రజలు ఎవరిని తీసుకువచ్చేవారు?","ధనవంతులను","రోగులను","యాజకులను","పిల్లలను","రోగులను"
"ప్రధాన యాజకుడు మరియు అతని అనుచరులు ఏ మతపక్షానికి చెందినవారు?","పరిసయ్యులు","సద్దూకయ్యులు","హెరోదీయులు","సమరయులు","సద్దూకయ్యులు"
"వారు అపొస్తలులను ఎందుకు పట్టుకున్నారు?","దొంగతనం చేసినందుకు","అసూయతో","పన్ను కట్టనందుకు","అల్లర్లు చేసినందుకు","అసూయతో"
"అపొస్తలులను ఎక్కడ ఉంచారు?","దేవాలయంలో","చెరసాలలో","రాజభవనంలో","సమరయలో","చెరసాలలో"
"రాత్రివేళ చెరసాల తలుపులు ఎవరు తెరిచారు?","పేతురు","యోహాను","దేవదూత","సైనికుడు","దేవదూత"
"దేవదూత అపొస్తలులకు ఏమి చేయమని చెప్పాడు?","పారిపోండి","దాక్కోండి","దేవాలయంలో నిలబడి బోధించండి","గలిలయకు వెళ్లండి","దేవాలయంలో నిలబడి బోధించండి"
"అపొస్తలులు ఉదయాన్నే ఎక్కడ బోధించారు?","మార్కెట్లో","దేవాలయంలో","సముద్రతీరంలో","ఇంటింటికి","దేవాలయంలో"
"""మనుష్యులకు కాక దేవునికే విధేయులమై ఉండాలి"" అని ఎవరు చెప్పారు?","గమలియేలు","పేతురు మరియు అపొస్తలులు","యోహాను మాత్రమే","బర్నబా","పేతురు మరియు అపొస్తలులు"
"అపొస్తలులను చంపాలని యోచించినప్పుడు వారిని ఆపినవాడు ఎవరు?","కయప","అన్నా","గమలియేలు","నికోదేము","గమలియేలు"
"గమలియేలు ఏ వర్గానికి చెందినవాడు?","సద్దూకయ్యుడు","పరిసయ్యుడు","సమరయుడు","రోమీయుడు","పరిసయ్యుడు"
"గమలియేలు ఉదాహరణగా చెప్పిన వ్యక్తులలో ఒకరు ఎవరు?","బర్నబా","థూదా","మార్కు","సీలా","థూదా"
"అపొస్తలులను కొట్టిన తరువాత వారికి ఏమి ఆజ్ఞాపించారు?","యెరూషలేము విడిచి వెళ్లమని","యేసు నామములో మాట్లాడవద్దని","చెరలో ఉండమని","పన్ను కట్టమని","యేసు నామములో మాట్లాడవద్దని"
"యేసు నామము కొరకు అవమానం పొందుటకు పాత్రులమని ఎంచబడినందుకు అపొస్తలులు ఎలా స్పందించారు?","విచారించారు","భయపడ్డారు","సంతోషించారు","పారిపోయారు","సంతోషించారు"
"అపొస్తలులు బోధించడం ఎక్కడ ఆపలేదు?","దేవాలయంలో మరియు ఇంటింట","గలిలయలో","సమరయలో","రోమాలో","దేవాలయంలో మరియు ఇంటింట"
"అపోస్తలుల కార్యములు 5వ అధ్యాయం యొక్క ప్రధాన బోధ ఏమిటి?","ధనవంతులు కావడం","పరిశుద్ధత, నిజాయితీ, దేవునికి విధేయత","రాజకీయం","యుద్ధం","పరిశుద్ధత, నిజాయితీ, దేవునికి విధేయత"
